wilayah_kode,wilayah,tahun,value
5317,Sumba Barat Daya,2013,59.26
8206,Halmahera Timur,2021,67.0
7205,Donggala,2024,67.45
1407,Rokan Hulu,2010,63.59
1809,Pesawaran,2013,60.94
9601,Mimika,2022,75.08
6300,KALIMANTAN SELATAN,2013,67.17
1107,Aceh Barat,2024,73.69
6271,Kota Palangka Raya,2021,80.82
9105,Manokwari,2024,73.83
3507,Malang,2022,71.38
8109,Buru Selatan,2017,62.75
3205,Garut,2022,67.41
7322,Luwu Utara,2017,68.35
1376,Kota Payakumbuh,2022,79.53
9420,Keerom,2017,64.99
7471,Kota Kendari,2020,83.53
1673,Kota Pagar Alam,2022,69.6
6474,Kota Bontang,2011,77.25
3672,Kota Cilegon,2024,75.14
7100,SULAWESI UTARA,2010,67.83
3501,Pacitan,2015,64.92
6171,Kota Pontianak,2016,77.63
3319,Kudus,2024,77.22
7373,Kota Palopo,2012,74.54
3516,Mojokerto,2022,74.89
3527,Sampang,2023,64.13
6411,Mahakam Ulu,2024,70.35
7411,Kolaka Timur,2018,65.53
3527,Sampang,2022,63.39
5205,Dompu,2010,61.44
3309,Boyolali,2021,74.4
3574,Kota Probolinggo,2014,70.49
7311,Bone,2012,60.77
6304,Barito Kuala,2014,62.56
1106,Aceh Tengah,2017,72.19
1703,Bengkulu Utara,2021,69.28
6100,KALIMANTAN BARAT,2024,70.13
8101,Maluku Tenggara Barat / Kepulauan Tanimbar,2022,63.45
1117,Bener Meriah,2020,72.98
7504,Bone Bolango,2012,65.13
3576,Kota Mojokerto,2017,76.77
7171,Kota Manado,2014,77.27
5319,Manggarai Timur,2015,56.83
9430,Lanny Jaya,2011,41.9
1709,Bengkulu Tengah,2021,67.96
1807,Way Kanan,2011,62.04
3327,Pemalang,2024,68.55
3101,Kep. Seribu,2020,71.63
3509,Jember,2017,64.96
1807,Way Kanan,2014,64.32
5306,Belu,2014,59.72
7403,Konawe,2022,72.04
1106,Aceh Tengah,2012,70.18
6401,Paser,2016,71.0
9400,PAPUA,2018,60.06
7415,Buton Selatan,2019,64.37
5308,Lembata,2023,66.12
1500,JAMBI,2016,69.62
3172,Kota Jakarta Timur,2023,84.13
9205,Tambrauw,2022,54.63
9412,Mimika,2011,68.74
3304,Banjarnegara,2020,67.45
6200,KALIMANTAN TENGAH,2018,70.42
1900,KEP. BANGKA BELITUNG,2023,72.85
1275,Kota Medan,2015,78.87
6411,Mahakam Ulu,2014,64.32
7312,Soppeng,2017,66.67
1406,Kampar,2010,68.62
6171,Kota Pontianak,2021,79.93
7105,Minahasa Selatan,2024,74.17
